"control_group","off_temp","test_group","control_size","test_size","effect_size","paired","variable","difference","ci","bca_ci_low","bca_ci_high","pct_ci_low","pct_ci_high","nboots","duration","month","ID"
"Control@17","17","Heatwave@17",10,29,"hedges_g",FALSE,"Success",1.13720398567897,95,0.353727434613381,1.87759314328257,0.476832620863436,2.00866557773575,5000,"short","November","17_short"
"Control@22","22","Heatwave@22",30,30,"hedges_g",FALSE,"Success",3.6276657602265,95,2.68831223281586,4.82432204536834,2.82222378397934,5.17002506240146,5000,"short","November","22_short"
"Control@12","12","Heatwave@12",15,11,"hedges_g",FALSE,"Success",0.35808693117431,95,-0.612447948923089,0.811612789604954,-0.612447948923089,0.87591931073754,5000,"long","November","12_long"
"Control@17","17","Heatwave@17",26,28,"hedges_g",FALSE,"Success",2.36597182209132,95,1.64969098561912,3.52350476512948,1.7176186114061,3.71507703773674,5000,"long","November","17_long"
"Control@22","22","Heatwave@22",23,28,"hedges_g",FALSE,"Success",0.540514276475041,95,0.326283992975201,0.787788167944215,0.343209038603507,0.813103313568349,5000,"long","November","22_long"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Success",0.100604863660217,95,-0.446892473391122,0.606168666137109,-0.406509417488846,0.64817351399507,5000,"short","June","12_short"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Success",0.298150475377376,95,-0.271568565472082,0.7224191178908,-0.201097599304123,0.754601854471946,5000,"short","June","17_short"
"Control@22","22","Heatwave@22",29,29,"hedges_g",FALSE,"Success",-0.297704813429585,95,-0.832938766752956,0.236006972918139,-0.849989503535981,0.213237763528192,5000,"short","June","22_short"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Success",0.0357365870588348,95,-0.482726935886647,0.550673209009835,-0.475135145651795,0.561279129557249,5000,"long","June","12_long"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Success",-0.955199114785109,95,-1.4794607461681,-0.437575563806961,-1.54287432356696,-0.489612930441751,5000,"long","June","17_long"
"Control@22","22","Heatwave@22",28,29,"hedges_g",FALSE,"Success",-0.492962880074859,95,-1.06036802569104,0.0476849224176777,-1.09910145641315,0.0109063401948373,5000,"long","June","22_long"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Success",0.0400163913490104,95,-0.497241758659829,0.53559078704218,-0.504610196589674,0.527871053578131,5000,"short","August","12_short"
"Control@17","17","Heatwave@17",18,30,"hedges_g",FALSE,"Success",0.220399628401205,95,-0.341561576657126,0.738643286635484,-0.33167276299983,0.742803906234658,5000,"short","August","17_short"
"Control@22","22","Heatwave@22",29,30,"hedges_g",FALSE,"Success",0.371867571310423,95,-0.135965407636733,0.826704237634184,-0.136409442623066,0.825777359893165,5000,"short","August","22_short"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Success",-0.631066806195067,95,-1.15338499670479,-0.02999494592439,-1.25287255687331,-0.136835884642986,5000,"long","August","12_long"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Success",0.80703716479549,95,0.230470535631047,1.4172491411137,0.301108287810537,1.51240601436001,5000,"long","August","17_long"
"Control@22","22","Heatwave@22",27,20,"hedges_g",FALSE,"Success",0.538936361837031,95,-0.0797480007793354,1.22988272266711,-0.0367050934986124,1.28846403958068,5000,"long","August","22_long"
