"control_group","off_temp","test_group","control_size","test_size","effect_size","paired","variable","difference","ci","bca_ci_low","bca_ci_high","pct_ci_low","pct_ci_high","nboots","duration","month","ID"
"Control@17","17","Heatwave@17",10,29,"hedges_g",FALSE,"Total",0.673980741783531,95,0.117821738220744,1.23766660350056,0.151967132678672,1.28270907708906,5000,"short","November","17_short"
"Control@22","22","Heatwave@22",30,30,"hedges_g",FALSE,"Total",2.96806065722177,95,2.3125495930644,3.69604803620345,2.43999839942038,3.9286284511683,5000,"short","November","22_short"
"Control@12","12","Heatwave@12",15,11,"hedges_g",FALSE,"Total",-2.14486269505591,95,-2.84854685259933,-1.50107381758443,-3.18011671116414,-1.64465353402532,5000,"long","November","12_long"
"Control@17","17","Heatwave@17",26,28,"hedges_g",FALSE,"Total",0.906843985792013,95,0.358395194665905,1.48914539507677,0.394613494374708,1.53475571880203,5000,"long","November","17_long"
"Control@22","22","Heatwave@22",23,28,"hedges_g",FALSE,"Total",-0.747750999246998,95,-1.27107003532441,-0.203280172018761,-1.29567053596284,-0.226194981900456,5000,"long","November","22_long"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Total",-0.695981964937687,95,-1.24144305749279,-0.125868891677302,-1.30488739812999,-0.17925617195341,5000,"short","June","12_short"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Total",1.11407226993447,95,0.455562372378462,1.7097039770465,0.576253004429484,1.85741315104876,5000,"short","June","17_short"
"Control@22","22","Heatwave@22",29,29,"hedges_g",FALSE,"Total",0.274977134392199,95,-0.238481978251085,0.783577124975763,-0.217909071551838,0.81018884474215,5000,"short","June","22_short"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Total",-2.13837782589717,95,-2.76449806645374,-1.60367551409141,-2.85634151850828,-1.65666202669825,5000,"long","June","12_long"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Total",-0.427554155978072,95,-0.940053795729595,0.105229090303288,-0.968205243991271,0.0699690252060996,5000,"long","June","17_long"
"Control@22","22","Heatwave@22",28,29,"hedges_g",FALSE,"Total",0.113079968424019,95,-0.423562700788304,0.643848253066755,-0.422921540144407,0.644940259110645,5000,"long","June","22_long"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Total",-0.415568708162404,95,-0.953408973383516,0.105799347728536,-0.996499659020282,0.0792441499298898,5000,"short","August","12_short"
"Control@17","17","Heatwave@17",18,30,"hedges_g",FALSE,"Total",-0.151589661233405,95,-0.711410745214397,0.428566325048217,-0.709080623052823,0.432803951683321,5000,"short","August","17_short"
"Control@22","22","Heatwave@22",29,30,"hedges_g",FALSE,"Total",-0.646124014087441,95,-1.18997101170318,-0.117760472794236,-1.240914854413,-0.156721914738485,5000,"short","August","22_short"
"Control@12","12","Heatwave@12",30,30,"hedges_g",FALSE,"Total",0.0182843068439633,95,-0.497321710146453,0.537866298112219,-0.512143812527642,0.524139168726471,5000,"long","August","12_long"
"Control@17","17","Heatwave@17",30,30,"hedges_g",FALSE,"Total",-2.67181195477107,95,-3.22909052328529,-2.13629113383814,-3.39247020710043,-2.24565337321576,5000,"long","August","17_long"
"Control@22","22","Heatwave@22",27,20,"hedges_g",FALSE,"Total",-1.77492601328527,95,-2.30868735881697,-1.22955341714715,-2.45031084261527,-1.3290167277406,5000,"long","August","22_long"
